Путь,Пакет,Версия,Описание пакета,Последнее изменение,Есть файлы без доступа на чтение,Последний запуск,Запусков в 2023,Запусков в 2024,Запусков в 2025,ПО для рассмотрения?,Модули,Тип,Владелец,Группа,Версия в Octoshell,Коммерческий(Octoshell)
/opt/cuda/cuda-12.0,,,,2024-08-15,да,,,,,,cuda/12.0,directory,root,root,,
/opt/cuda/cuda-12.4,,,,2024-07-12,да,,,,,,,directory,markzaborodskiy_2338,root,,
/opt/cuda/cuda-5.5,,,,2016-02-25,да,,,,,,cuda/5.5,directory,root,tplat,,
/opt/cuda/cuda-6.5,,,,2016-02-25,да,,,,,,cuda/6.5 magma/ magma/1.7.0,directory,root,root,,
/opt/cuda/cuda-8.0,,,,2017-07-04,да,,,,,,cuda/ cuda/8.0 lammps/7A19-cuda-p100,directory,root,root,,
/opt/cuda/cuda-9.0,,,,2018-03-29,да,,,,,,,directory,root,root,,
/opt/cuda/cuda-9.1,,,,2018-03-06,да,,,,,,,directory,root,root,,
/opt/cuda/nvidia-libs-346.96,,,,2016-02-25,нет,,,,,,,directory,root,root,,
/opt/dislib,,,,2016-02-25,да,,,,,,,directory,korzh,root,,
/opt/docker,,,,2018-11-14,да,,,,,,,directory,practice,root,,
/opt/emc,,,,2018-11-23,нет,,,,,,,directory,root,root,,
/opt/extra,,,,2020-06-06,нет,,,,,,gmsh/ gmsh/4.5.6,directory,root,root,,
/opt/flexnetserver,,,,2020-01-10,нет,,,,,,,directory,root,root,,
/opt/gcc,,,,2016-02-25,да,,,,,,,directory,root,root,,
/opt/gnustep,,,,2016-02-25,да,,,,,,,directory,root,root,,
/opt/h,,,,2019-05-31,нет,,,,,,,regular file,root,root,,
/opt/hfs15.0.313,,,,2015-12-08,да,,,,,,,directory,render,render,,
/opt/hfs15.0.459,,,,2016-05-12,да,,,,,,,directory,render,render,,
/opt/houdini_libs,,,,2016-10-13,нет,,,,,,,directory,render,render,,
/opt/hpctools,,,,2021-03-15,да,,,,,,,directory,vadim,root,,
/opt/hpcx-v1.9.5-gcc-MLNX_OFED_LINUX-4.1-1.0.2.0-redhat7.1-x86_64,,,,2017-06-28,да,,,,,,,directory,root,root,,
/opt/ib_guids,,,,2020-02-05,нет,,,,,,,directory,root,root,,
/opt/ibutils,,,,2016-02-25,нет,,,,,,,directory,root,root,,
/opt/ibutils.pvt,,,,2021-02-25,да,,,,,,,directory,root,legkozapomnit_1864,,
/opt/intel/advisor,,,,2019-10-17,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/advisor_2017.1.1.486553,,,,2018-07-27,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/advisor_2018,,,,2018-07-27,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/advisor_2018.2.0.551025,,,,2018-07-27,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/advisor_2019,,,,2019-10-17,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/advisor_2019.4.0.597843,,,,2019-08-01,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/advisor_xe,,,,2018-02-07,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/advisor_xe_2013,,,,2017-06-13,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/advisor_xe_2015,,,,2016-02-25,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/advisor_xe_2015.1.10.380555,,,,2016-02-25,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/bin,,,,2021-03-25,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/clck,,,,2019-08-16,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/clck_latest,,,,2019-10-17,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/compilers_and_libraries,,,,2019-10-17,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,symbolic link,root,root,,
/opt/intel/compilers_and_libraries_2017,,,,2018-03-21,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2018,,,,2018-07-27,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2018.2.199,,,,2018-02-15,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2019,,,,2019-02-11,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2019.2.187,,,,2019-01-24,да,,,,,,impi/2019.2 intel/2017.1 intel/2019.4 intel/2019.5 mkl/ mkl/2019.2,directory,root,root,,
/opt/intel/compilers_and_libraries_2019.4.243,,,,2019-05-14,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2019.5.281,,,,2019-08-19,да,,,,,,cp2k/7.1 intel/2017.1 intel/2019.4 intel/2019.5 mkl/2019.5,directory,root,root,,
/opt/intel/compilers_and_libraries_2020,,,,2021-03-25,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/composer_xe_2013_sp1,,,,2017-06-13,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/composer_xe_2013_sp1.2.144,,,,2017-06-13,да,,,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/intel/composer_xe_2013_sp1.3.174,,,,2016-02-25,да,,,,,,intel/14.0.3 intel/2017.1 intel/2019.4 intel/2019.5 mkl/11.1.3,directory,root,root,,
